CampaignID,CampaignName,Region,Industry,Spend,Impressions,Clicks,Conversions,Revenue,ROI
1,Radio Ads,Oceania,Education,41696.19,466285,3616,1678,38360.4948,-0.08
2,Search Engine Ads,North America,Tech,4366.93,984250,19824,1234,6070.0327,0.39
3,Influencer Marketing,North America,Education,21790.55,424758,6510,1830,49464.5485,1.932580182
4,Radio Ads,North America,Finance,5048.27,434528,153,335,6057.924,0.2
5,TV Commercials,Africa,Retail,26218.22,448458,19059,1544,51912.0756,0.6726406
6,Content Marketing,South America,Tech,45046.14,898403,17099,1442,84236.2818,0.87
7,Influencer Marketing,Africa,Finance,39341.76,628071,6044,1640,89305.7952,1.916204677
8,Influencer Marketing,South America,Finance,12164.28,659969,7504,1823,12407.5656,0.035170063
9,Radio Ads,Africa,Tech,48823.55,622181,1054,1995,120105.933,1.46
10,Email Marketing,Africa,Education,33700.17,982892,10725,1974,60323.3043,0.79
11,TV Commercials,Oceania,Automotive,1510.96,509797,1729,846,3762.2904,0.844360397
12,Radio Ads,Asia,Finance,13515.26,168763,11073,517,31760.861,1.35
13,TV Commercials,Africa,Healthcare,13774.95,612248,6959,740,16254.441,0.13070089
14,TV Commercials,Oceania,Finance,4393.46,880820,8941,1634,3954.114,-0.057601382
15,Content Marketing,Europe,Automotive,48031.5,32601,10639,81,59078.745,0.23
16,Influencer Marketing,Asia,Education,24434.51,421236,12782,1280,41538.667,1.195341503
17,Search Engine Ads,Africa,Education,44894.92,149227,3378,650,48935.4628,0.09
18,Content Marketing,North America,Healthcare,16788.56,734479,19045,1757,18131.6448,0.08
19,Content Marketing,Europe,Finance,7136.44,702137,6639,949,11346.9396,0.59
20,TV Commercials,Europe,Education,24242.47,291854,16854,1888,20848.5242,-0.108288582
21,Billboards,Oceania,Automotive,6583.88,380858,957,617,6649.7188,0.01
22,Influencer Marketing,Europe,Tech,24814.76,689892,4986,1620,37470.2876,0.920561053
23,Email Marketing,Asia,Retail,46094.56,663015,13045,1968,41946.0496,-0.09
24,Content Marketing,Africa,Retail,26517.64,946105,7585,575,38980.9308,0.47
25,Search Engine Ads,Africa,Retail,31208.49,597515,13780,1377,50245.6689,0.61
26,Billboards,North America,Finance,8675.28,670327,16867,1958,13620.1896,0.57
27,Billboards,Oceania,Healthcare,3143.05,618577,14497,63,7166.154,1.28
28,Email Marketing,North America,Education,6429.59,161094,10844,1763,10930.303,0.7
29,Content Marketing,Europe,Tech,30328.05,446679,4434,537,48524.88,0.6
30,Search Engine Ads,North America,Automotive,5655.57,740031,19209,620,8483.355,0.5
31,Influencer Marketing,Asia,Tech,19423.65,802154,12326,1565,42537.7935,1.943963331
32,Social Media Ads,Africa,Automotive,27954.51,692773,13540,1591,64854.4632,1.32
33,Search Engine Ads,Europe,Finance,20043.99,877482,15120,1996,45098.9775,1.25
34,Email Marketing,North America,Retail,9020.51,512648,4351,202,17589.9945,0.95
35,Billboards,Oceania,Finance,14415.77,768108,12280,1928,14848.2431,0.03
36,Influencer Marketing,Asia,Healthcare,46487.56,771282,16240,67,59039.2012,0.464220149
37,Search Engine Ads,Asia,Healthcare,34123.13,489083,1022,1470,30028.3544,-0.12
38,Social Media Ads,North America,Automotive,25306.34,355740,19399,1144,60229.0892,1.38
39,Social Media Ads,Africa,Education,1623.03,863164,8057,138,3116.2176,0.92
40,TV Commercials,North America,Education,49628.35,415513,19530,1882,102730.6845,0.685568178
41,TV Commercials,Europe,Automotive,33901.29,78323,15896,715,45088.7157,0.172032705
42,Radio Ads,North America,Healthcare,16529.2,295960,1330,1958,37025.408,1.24
43,Email Marketing,Asia,Healthcare,44084.16,574983,10727,861,54664.3584,0.24
44,Content Marketing,North America,Healthcare,13663.15,422918,10106,1359,10930.52,-0.2
45,Search Engine Ads,Africa,Finance,27656.81,428458,5033,17,39825.8064,0.44
46,Search Engine Ads,Oceania,Healthcare,32167.47,65841,14395,38,56936.4219,0.77
47,Content Marketing,South America,Tech,11832.11,400642,16477,1145,19049.6971,0.61
48,Radio Ads,North America,Retail,48941.47,208784,303,956,111097.1369,1.27
49,Billboards,Africa,Healthcare,37661.4,117096,16644,1706,36908.172,-0.02
50,Billboards,Africa,Automotive,28332.85,102764,15999,140,49299.159,0.74
51,Radio Ads,Oceania,Retail,9849.14,456790,3848,197,16448.0638,0.67
52,Billboards,Asia,Finance,3639.05,620032,6818,1708,4657.984,0.28
53,TV Commercials,Africa,Automotive,16682.93,824914,19065,718,36702.446,0.631241863
54,Search Engine Ads,Africa,Retail,37906.18,543459,1193,1508,78844.8544,1.08
55,Radio Ads,Africa,Automotive,14197.23,635043,15328,1397,29104.3215,1.05
56,Search Engine Ads,Africa,Finance,27438.25,502148,16134,1237,62833.5925,1.29
57,Content Marketing,Europe,Tech,36669.41,642413,5810,221,74438.9023,1.03
58,Social Media Ads,Europe,Finance,6289.24,927154,9832,1654,7484.1956,0.19
59,TV Commercials,Asia,Finance,34579.6,378226,19359,285,69159.2,0.565490934
60,Influencer Marketing,North America,Automotive,5501.67,13696,3291,1106,7262.2044,0.593407882
61,TV Commercials,Africa,Education,48291.36,136310,18321,1712,58432.5456,0.106113213
62,Radio Ads,Oceania,Healthcare,24931.31,947562,789,1805,22936.8052,-0.08
63,Influencer Marketing,North America,Healthcare,8383.13,685673,2203,252,17269.2478,1.824211158
64,Social Media Ads,Oceania,Tech,17776.8,815581,465,1820,35731.368,1.01
65,Radio Ads,North America,Tech,21257.41,926496,14110,1135,25508.892,0.2
66,Email Marketing,Asia,Healthcare,38151.07,849953,11867,996,78972.7149,1.07
67,Search Engine Ads,Africa,Education,37427.77,55740,16203,694,88329.5372,1.36
68,Social Media Ads,Africa,Healthcare,30985.08,116611,12842,180,30365.3784,-0.02
69,Search Engine Ads,South America,Education,6190.6,408172,12491,662,7428.72,0.2
70,Billboards,Oceania,Tech,8426.9,478947,4272,1942,17527.952,1.08
71,Email Marketing,North America,Retail,5594.09,485828,15723,197,7104.4943,0.27
72,Email Marketing,North America,Automotive,29281.47,783210,2478,1474,54463.5342,0.86
73,Social Media Ads,Europe,Tech,43979.78,338785,17689,1119,41340.9932,-0.06
74,Email Marketing,South America,Tech,22256.23,598099,12131,1509,34942.2811,0.57
75,Influencer Marketing,Europe,Finance,8881.56,455376,5769,61,18296.0136,1.650517404
76,Email Marketing,Europe,Finance,28344.07,716673,2835,120,55837.8179,0.97
77,Search Engine Ads,Europe,Finance,40775.86,597520,9967,1982,89299.1334,1.19
78,Search Engine Ads,Oceania,Automotive,37343.89,811849,8590,886,85517.5081,1.29
79,Radio Ads,Oceania,Finance,44191.09,690089,1056,1887,93243.1999,1.11
80,Search Engine Ads,Asia,Education,14617.2,122492,9406,1076,28357.368,0.94
81,Radio Ads,Asia,Healthcare,10503.74,40099,6723,220,8928.179,-0.15
82,Search Engine Ads,Europe,Retail,44111.01,763494,15008,1233,75429.8271,0.71
83,Influencer Marketing,South America,Tech,33220.46,433177,17958,1843,28569.5956,-0.24256438
84,Content Marketing,North America,Education,16235.52,940106,4560,867,35231.0784,1.17
85,Radio Ads,Oceania,Retail,37375.05,652762,14086,1785,50456.3175,0.35
86,TV Commercials,South America,Education,40940.8,281400,12738,636,72055.808,0.482434597
87,Billboards,Africa,Education,31133.93,489336,19312,1059,39851.4304,0.28
88,Social Media Ads,Oceania,Tech,34706.32,777876,2950,1952,73924.4616,1.13
89,Search Engine Ads,Oceania,Healthcare,19387.74,568969,13399,308,44785.6794,1.31
90,Email Marketing,Asia,Finance,27396.09,101328,10798,1110,40546.2132,0.48
91,Content Marketing,North America,Automotive,26683.8,752800,19448,933,60572.226,1.27
92,Search Engine Ads,North America,Healthcare,42554.34,992293,4694,146,53192.925,0.25
93,Email Marketing,Africa,Automotive,42158.24,315505,14382,1053,72090.5904,0.71
94,Billboards,Africa,Tech,41801.34,467719,16385,449,94471.0284,1.26
95,Billboards,Oceania,Tech,1540.55,44540,14434,220,2079.7425,0.35
96,Billboards,Europe,Tech,37727.73,167608,6744,761,91301.1066,1.42
97,Email Marketing,Asia,Retail,38175.14,94700,2950,1584,38556.8914,0.01
98,Search Engine Ads,Asia,Automotive,34240.56,990547,15033,444,28419.6648,-0.17
99,Billboards,Oceania,Healthcare,38056.97,350676,265,789,89053.3098,1.34
100,Influencer Marketing,South America,Healthcare,42256.55,721935,10801,1240,38876.026,-0.126276691
101,Radio Ads,Europe,Education,24045.63,399770,1019,448,59873.6187,1.49
102,Email Marketing,Oceania,Education,25600.46,406087,8405,1812,61953.1132,1.42
103,Email Marketing,Europe,Education,7110.99,56002,19988,675,7324.3197,0.03
104,Search Engine Ads,Europe,Tech,19883.42,59812,17475,1075,34000.6482,0.71
105,Email Marketing,Europe,Healthcare,32524.89,425842,15815,420,36102.6279,0.11
106,Email Marketing,Oceania,Automotive,39239.59,725339,3939,1556,60036.5727,0.53
107,Billboards,Asia,Tech,11643.25,267906,17742,815,10478.925,-0.1
108,Search Engine Ads,Asia,Retail,7753.32,118946,11718,619,9148.9176,0.18
109,Billboards,Europe,Education,33489.06,76668,13619,436,47554.4652,0.42
110,Radio Ads,South America,Tech,1092.11,109003,10876,1308,1692.7705,0.55
111,Content Marketing,North America,Tech,9740.26,745430,167,1481,23961.0396,1.46
112,Radio Ads,Oceania,Retail,2424.5,230462,9888,911,5261.165,1.17
113,Content Marketing,North America,Finance,9177.37,839430,5760,951,18813.6085,1.05
114,Billboards,South America,Healthcare,9884.64,729174,4578,1917,16902.7344,0.71
115,Radio Ads,Oceania,Automotive,19996.01,638889,8310,751,44591.1023,1.23
116,Search Engine Ads,Europe,Finance,20714.03,973111,11022,1402,28585.3614,0.38
117,Social Media Ads,Asia,Education,43838.86,279956,3621,1971,88116.1086,1.01
118,Billboards,North America,Tech,25995.38,71844,672,1253,64728.4962,1.49
119,Content Marketing,Africa,Retail,36446.83,735453,7182,1610,48474.2839,0.33
120,Influencer Marketing,Africa,Retail,6102.73,405395,5495,1900,11900.3235,1.545964301
121,Content Marketing,South America,Healthcare,12046.5,709158,15507,1265,26984.16,1.24
