Name,Country,Category,Year,Area,Danger,Region,Latitude,Longitude
Heritage Site 1,"France, Greece",Cultural,1984,9020.847886979922,No,Africa,21.535812075849364,-129.73990414573876
Heritage Site 2,"India, Mexico",Cultural,2015,,No,Europe and North America,-54.51640193481148,176.57065625798919
Heritage Site 3,"India, Australia",Cultural,1995,7654.4619204023165,No,Latin America and the Caribbean,54.76101329172221,-43.210454668439695
Heritage Site 4,"Germany, Italy",Mixed,1996,4682.732609475252,No,Europe and North America,-26.446379422478287,138.267362656687
Heritage Site 5,"Australia, Italy",Cultural,2021,5627.807009532865,No,Asia and the Pacific,-16.665870404306233,-134.25222772235293
Heritage Site 6,"Greece, China",Cultural,2018,3232.2059410428255,No,Latin America and the Caribbean,-85.37544288864575,3.684409939916179
Heritage Site 7,"France, Spain",Cultural,2009,3524.27926878862,No,Asia and the Pacific,10.4427169995474,1.9197078057111412
Heritage Site 8,"South Africa, Germany",Cultural,1981,,No,Europe and North America,65.90473873069615,29.473514414339576
Heritage Site 9,"Egypt, Greece",Cultural,1999,273.52220065064984,No,Latin America and the Caribbean,14.816117624074522,131.67802055223757
Heritage Site 10,"United Kingdom, Japan",Natural,1990,9719.909538035405,Yes,Arab States,-8.107901824515878,-157.39567438300244
Heritage Site 11,"China, Italy",Natural,2014,3636.43416318883,No,Asia and the Pacific,-8.084575626629444,153.10423280854968
Heritage Site 12,"Germany, Greece",Cultural,2008,4492.773528580498,No,Europe and North America,-81.20642087565405,-121.02884302472023
Heritage Site 13,"Japan, China",Cultural,1983,7758.0360351808,No,Africa,18.832960398247096,-173.3155724884326
Heritage Site 14,"Spain, Canada",Cultural,1995,152.97717402672308,No,Asia and the Pacific,-78.41492021609544,172.19513328259222
Heritage Site 15,"Spain, Mexico",Cultural,1994,9326.866903848719,No,Asia and the Pacific,42.614256585989466,-143.62735255357097
Heritage Site 16,"Spain, United Kingdom",Cultural,1996,4010.8447158561094,No,Latin America and the Caribbean,-43.686512451733094,53.96130943822405
Heritage Site 17,"Greece, Brazil",Cultural,2010,3169.135001059215,No,Africa,-22.124579892049468,129.63513473031605
Heritage Site 18,"Italy, Japan",Cultural,2005,9528.89389907529,No,Africa,-38.58589132351098,15.390281051487221
Heritage Site 19,"Japan, Mexico",Cultural,1993,6974.5710301402805,No,Europe and North America,75.38421861522252,-110.40615660715703
Heritage Site 20,"United Kingdom, Spain",Cultural,2005,7343.359886414184,No,Africa,-28.92566930591562,-13.186127526326118
Heritage Site 21,"Italy, Spain",Cultural,2011,5964.594476709182,No,Arab States,65.96050951398078,151.61217274608373
Heritage Site 22,"India, United Kingdom",Cultural,1990,7599.031549242165,No,Latin America and the Caribbean,58.805022296875165,-99.01611764377232
Heritage Site 23,"China, Italy",Cultural,1988,9451.357793643901,No,Arab States,86.84052718158156,170.09282622248708
Heritage Site 24,"Australia, United Kingdom",Cultural,2006,3973.8386098128326,No,Arab States,73.00877326383096,97.63328676655328
Heritage Site 25,"India, India",Cultural,1985,2385.355775833281,No,Europe and North America,1.65868272348348,-76.74397274423828
Heritage Site 26,"India, United Kingdom",Natural,2002,337.90666060452025,No,Asia and the Pacific,-43.80241968691725,-163.02540543696034
Heritage Site 27,"Greece, India",Natural,2003,5357.877159850092,No,Africa,73.43783415463594,-103.5098602119442
Heritage Site 28,"Australia, Germany",Cultural,1991,311.0136742941798,No,Latin America and the Caribbean,-76.68687530527455,62.20613523065688
Heritage Site 29,"Australia, Australia",Cultural,2006,4355.1132974077045,No,Africa,29.96045686665782,-58.600091557788716
Heritage Site 30,"Australia, South Africa",Cultural,2011,8166.399420629864,No,Latin America and the Caribbean,43.47042482757027,40.14056374478386
Heritage Site 31,"Mexico, Spain",Natural,1979,9254.678526610138,No,Africa,60.424974313440146,53.765550750595196
Heritage Site 32,"Italy, Brazil",Cultural,2020,5965.483822020442,No,Asia and the Pacific,-66.75306620805448,-14.009071490577554
Heritage Site 33,"Mexico, Egypt",Cultural,1992,9388.656931920881,No,Africa,-65.70729681327816,-165.50704584032314
Heritage Site 34,"Egypt, India",Cultural,1978,2515.64048336248,No,Latin America and the Caribbean,64.25039763057129,68.76275557364903
Heritage Site 35,"Mexico, Italy",Cultural,1985,1559.4058607950028,No,Arab States,-67.83744049662461,-3.1169783377820863
Heritage Site 36,"China, Brazil",Cultural,2020,2938.783002572714,No,Asia and the Pacific,-49.411056534291745,-96.89308920964218
Heritage Site 37,"Canada, France",Cultural,2003,1915.5669257701566,No,Europe and North America,-11.48902219014029,13.825939548899925
Heritage Site 38,"India, France",Cultural,1992,1714.7930453669994,No,Europe and North America,-88.08828854568505,169.19205669503185
